observatory_name,year_established,obs_location
Smithsonian Astrophysical Observatory,1890,"Cambridge, Massachusetts, USA"
Sobaeksan Optical Astronomy Observatory,1978,"Sobaeksan, South Korea"
Solar and Heliospheric Observatory (SOHO),1996,Earth–Sun L1 point
Solar Space Telescope,2009,709 km SSO; life: 3 years
Sommers–Bausch Observatory,1949,"Boulder, Colorado, USA"
Sonnenborgh Observatory,1853,"Utrecht, Netherlands"
Sonoma State Observatory,1976,"Rohnert Park, California, USA"
South African Astronomical Observatory Cape Town Sutherland,1820 1972,"Observatory, Cape Town, South Africa Sutherland, Northern Cape, South Africa"
Southern Astrophysical Research Telescope (SOAR),2004,"Cerro Pachón, Chile"
South Pole Telescope,2007,Antarctica
Space Hard X-Ray Modulation Telescope,2010,550 km LEO
Spanish National Observatory,1790,(Spain)
Special Astrophysical Observatory of the Russian Academy of Sciences,1966,"Zelenchukskaya, near Arkhyz, Caucasus Mountains, Russia"
Sperry Observatory,1967,"Cranford, New Jersey, USA"
Spitzer Space Telescope,2003,Heliocentric orbit
Springfield Observatory,1968,"Springfield, Massachusetts, USA"
Stardome Observatory,1967,"Auckland, North Island, New Zealand"
Starkenburg Observatory,1970,"Heppenheim, Germany"
Štefánik's Observatory,1928,"Prague, Czech Republic"
Stephens Memorial Observatory,1901,"Hiram, Ohio, USA"
Steward Observatory MMT Observatory Mount Graham International Observatory Mount Lemmon Observatory,1916,"Tucson, Arizona, USA"
Stjerneborg,1581,"Hven, Sweden"
Stockholm Observatory,1749,"Stockholm, Sweden"
Stone Observatory,1853,"Stone, Buckinghamshire, UK"
Stonyhurst Observatory,1838,"Lancashire, England"
Strasbourg Observatory,1881,"Strasbourg, France"
Stratospheric Observatory for Infrared Astronomy,2006,14 km in the stratosphere
Stull Observatory,1966,"Alfred, New York, USA"
Stuttgart Observatory,1920,"Stuttgart, Germany"
St. Thomas Observatory,2009,"Saint Paul, Minnesota, USA"
Sudbury Neutrino Observatory,1999,"Sudbury, Ontario, Canada"
Swift Gamma-Ray Burst Mission,2004,Low Earth orbit
Swiss Observatory Polychron and Astronomy,2019,"Geneva, Switzerland"
Sydney Observatory,1858,"Sydney, Australia"
Tacubaya Observatory,1882,"Tacubaya, Mexico City, Mexico"
Taeduk Radio Astronomy Observatory,1986,"Taejon, South Korea"
Tamke-Allan Observatory,1998,"Roane County, Tennessee, USA"
Tartu Observatory,1964,"Tartumaa, Estonia"
Teide Observatory,1964,"Tenerife, Canary Islands, Spain"
Terskol Peak Observatory,1989,"Terskol, Kabardino-Balkaria, Russia"
Thai National Observatory,2013,"Doi Inthanon, Chiang Mai, Thailand"
The Dam Observatory,2017,"Lake Tschida, North Dakota, USA"
The Heights Observatory,1989,"The Heights School, South Australia, Australia"
Theodore Jacobsen Observatory,1895,"Seattle, Washington, USA"
Thompson Observatory,1968,"Beloit, Wisconsin, USA"
Tuorla Observatory,1952,"Piikkiö, Finland"
Turin Observatory,1759,"Pino Torinese, Italy"
"Ukrainian T-shaped Radio telescope, second modification",1972,"Shevchenkove, Ukraine"
Ulugh Beg Observatory,1420s,"Samarkand, Uzbekistan"
University of Alabama Observatory,1950,"Tuscaloosa, Alabama, USA"
University of Alabama Observatory (Old),1849–1890s,"Tuscaloosa, Alabama, USA"
University of Illinois Astronomical Observatory,1896,"Urbana, Illinois, USA"
University of London Observatory,1929,"London, England"
University of Michigan-Dearborn Observatory,2007,"Dearborn, Michigan, USA"
University of New Hampshire Observatory,1985,"Durham, New Hampshire, USA"
University of Puerto Rico at Humacao Observatory[2],1985,"Humacao, Puerto Rico, USA"
Uppsala Astronomical Observatory,1741,"Uppsala, Sweden"
Urania (Vienna),1909,"Vienna, Austria"
Urania Observatory (Zürich),1907,"Zürich, Switzerland"
Uraniborg,1572-1597 (demolished),"Hven, Sweden"
Urumqi Astronomical Observatory,1957,"Urumqi, Xinjiang, China"
"U.S. Naval Observatory (USNO)[3] Depot of Charts and Instruments (U.S. Navy) (precursor, renamed to USNO) U.S. Naval Observatory (Flagstaff Station)",1844 1830–1844 1955,"Washington, D.C., USA Washington, D.C., USA Flagstaff, Arizona, USA"
Valongo Observatory,1881,"Rio de Janeiro, Brazil"
Vainu Bappu Observatory,1968,"Kavalur, Tamil Nadu, India"
Astronomical observatory of Aosta Valley,2003,"Nus (Aosta Valley, Italy"
Van Vleck Observatory,1914,"Middletown, Connecticut, USA"
Vartiovuori Observatory (defunct),1819–1834,"Turku, Finland"
Vassar College Observatory (defunct),1865,"Poughkeepsie, New York, USA"
Vatican Observatory Vatican Advanced Technology Telescope,1891 1993,"Headquarters: Castel Gandolfo, Italy Mount Graham, Arizona, USA"
Veen Observatory,1970,"Lowell, Michigan, USA"
Vega–Bray Observatory,1990,"Benson, Arizona, USA"
Very Large Array,1980,"Socorro, New Mexico, USA"
Very Long Baseline Array,1993,Various locations
Vienna Observatory,1753,"Vienna, Austria"
Vilnius University Observatory,1753,"Vilnius University, Lithuania"
Višnjan Observatory,1978,"Višnjan, Croatia"
Vsetín Observatory,1950,"Vsetín, Czech Republic"
Warkworth Radio Observatory,2008,"Warkworth, New Zealand"
Warner Observatory (defunct),1882,"Rochester, New York, USA"
Warner and Swasey Observatory,1919,"Cleveland, Ohio, USA"
Warren Rupp Observatory,1985,"Mansfield, Ohio, USA"
Warsaw University Observatory,1825,"Warsaw, Poland"
Washburn Observatory,1881,"Madison, Wisconsin, USA"
Wast Hills Observatory,1982,"Birmingham, England, UK"
Weitkamp Observatory,1955,"Westerville, Ohio, USA"
West Mountain Observatory,1981,West Mountain (Utah) USA
Whakatane Astronomical Society,1964,"Whakatane, New Zealand"
Whitin Observatory,1901,"Wellesley, Massachusetts, USA"
Widener University Observatory,2004,"Chester, Pennsylvania, USA"
Wilder Observatory,1903,"Amherst, Massachusetts, USA"
Willard L. Eccles Observatory,2009,"Frisco Peak, Utah, USA"
William Brydone Jack Observatory,1851,"Fredericton, New Brunswick, Canada"
Williams Observatory,1990,"Boiling Springs, North Carolina, USA"
Winer Observatory,1983,"Sonoita, Arizona, USA"
Winfree Observatory,1900,"Lynchburg, Virginia, USA"
Wise Observatory,1971,"Negev, Israel"
Witte Observatory,1984,"Mediapolis, Iowa, USA"
WIYN Observatory,1994,"Kitt Peak, Arizona, USA"
Wyoming Infrared Observatory,1975,"Laramie, Wyoming, USA"
Xiangfen Astronomical Observatory,2100 B.C.,"Xiangfen County, Linfen City, Shanxi Province, China"
Xinjiang Astronomical Observatory,1968,"Urumqi, Xinjiang, China"
XMM-Newton,1999,Highly eccentric Earth orbit
Xujiahui Astronomical Observatory,1872,"Shanghai, China"
Yantra Mandir,1724,"New Delhi, Delhi, India"
Yerkes Observatory,1897,"Williams Bay, Wisconsin, USA"
Yuba City Astronomical Observatory,2010,"Yuba City, California, USA"
Yunnan Astronomical Observatory,1957,"Kunming, Yunnan, China"
Zimmerwald Observatory,1956,"Zimmerwald, Switzerland"
Zadko Observatory,2009,"Gingin, Australia"
