Name,Established,Location
Palisades-Dows Observatory,1987,"Cedar Rapids, Iowa, USA"
Palomar Observatory,1948,"Palomar Mountain, California, USA"
Panzano Observatory,,"Bologna, Italy"
Paranal Observatory,1999,"Cerro Paranal, Atacama desert, Chile"
Paris Observatory,1667,"Paris, France"
Parkes Observatory,1961,"Parkes, Australia"
Paul Robinson Observatory,1965,"High Bridge, New Jersey, USA"
Peach Mountain Observatory,1950,"Dexter, Michigan, USA"
Perkins Observatory,1931,"Delaware, Ohio, USA"
Perth Observatory,1896,"Perth, Australia"
Peterberg Observatory,1977,"Saarland, Germany"
Pic du Midi Observatory,1878,"Pic du Midi, Pyrenees, France"
Pico dos Dias Observatory,1981,"Minas Gerais, Brazil"
Piera Observatory,1968,"Barcelona, Spain"
Pierre Auger Observatory,2004,"Malargüe, Argentina"
Pine Bluff Observatory,1958,"Cross Plains, Wisconsin, USA"
Pine Mountain Observatory,1965,"Bend, Oregon, USA"
Pistoia Mountains Astronomical Observatory,1990,"Pian dei Termini (near San Marcello Pistoiese), Italy"
Planetarium i Obserwatorium Astronomiczne w Grudzi?dzu,1972,"Grudzi?dz, Kujawsko-Pomorskie, Poland"
Pollock Astronomical Observatory,2004,"Hunting Valley, Ohio, USA"
Portage Lake Observatory (defunct),1948,"Dexter, Michigan, USA"
Pozna? Observatory,1919,"Pozna?, Poland"
Puckett Observatory,,"Ellijay, Georgia, USA"
Pula Observatory,1869,"Pula, Croatia"
Pulkovo Observatory,1839,"Pulkovskiye Heights, Russia"
Purple Mountain Observatory,1929,"Nanjing, Jiangsu Province, China"
,,
Q[edit],,
,,
Name,Established,Location
Quito Astronomical Observatory,1873,"La Alameda Park, Quito, Ecuador"
Radcliffe Observatory,1772,"Oxford, England. Moved to Durban, South Africa in 1939"
Rainwater Observatory,,"French Camp, Mississippi, USA"
Ralph A. Worley Observatory,1964,"Shreveport, Louisiana, USA"
Rankin Science Observatory,1963,"Appalachian State University, Boone, North Carolina, USA"
Rattlesnake Mountain Observatory (defunct),1971,"Hanford Reach National Monument, Washington, USA"
Real Instituto y Observatorio de la Armada (Spain),1793,"San Fernando, Cádiz, Spain"
Red Barn Observatory,2006,"Ty Ty, Georgia, USA"
Red Buttes Observatory,1994,"Laramie, Wyoming, USA"
Riley Observatory,1974,"Naperville, Illinois, USA"
RIT Observatory,,"Rochester, New York, USA"
Ritter Observatory,,"Toledo, Ohio, USA"
Robert A. Schommer Observatory,,"Rutgers University, New Brunswick, New Jersey, USA"
Robert Brownlee Observatory,,"Lake Arrowhead, California, USA"
Robinson Observatory,,"Orlando, Florida, USA"
Robotic Lunar Observatory (defunct),1995,"Flagstaff, Arizona, USA"
Rogers Observatory,1981,"Traverse City, Michigan, USA"
Rolnick Observatory,,"Westport, Connecticut, USA"
Rome Observatory,,Italy
Roseland Observatory,1998,"St Stephen-in-Brannel, United Kingdom"
Rossall School Observatory,,"Rossall, UK"
Rothney Astrophysical Observatory,1984,"Priddis, Alberta, Canada"
"Royal Observatory, Greenwich",1675,"Greenwich, England"
"Royal Observatory, Edinburgh",1896,"Edinburgh, Scotland"
Roque de los Muchachos Observatory,1979 (officially inaugurated in 1985),"La Palma, Canary Islands, Spain."
Rosemary Hill Observatory,,"Bronson, Florida, USA"
Rozhen Observatory,1981,"Peak Rozhen, Bulgaria."
Rutherford Observatory,1920s,"New York City, New York, USA"
San Fernando Observatory (SFO),1976,"Sylmar, California, USA"
Sankt Andreasberg Observatory,2014,"Sankt Andreasberg, Germany"
Sayan Spectrographic Cosmic Ray Complex,,"Irkutsk, Russia"
SFA Observatory,1976,"Nacogdoches, Texas, USA"
Sagamore Hill Radio Observatory,1963,"Hamilton, Massachusetts, USA"
Shattuck Observatory,1854,"Hanover, New Hampshire, USA"
Sherwood Observatory,1972,"Mansfield, UK"
Seven Hills Observatory,1996,"Kearney, Nebraska, USA"
Shamakhi Astrophysical Observatory,1958,"Shamakhi, Azerbaijan"
Shanghai Astronomical Observatory,1962,"Shanghai, China"
Sherzer Observatory,1878,"Ypsilanti, Michigan, USA"
Sheshan Astronomical Observatory,1900,"Shanghai, China"
Siding Spring Observatory,,"Siding Spring, New South Wales, Australia"
Sidmouth Observatory,1912,"Sidmouth, Devon, England"
Sierra Nevada Observatory,1981,"Sierra Nevada, Spain"
Silesian Planetarium and Astronomical Observatory,1955,"Chorzów / Katowice, Silesia, Poland"
Simeiz Observatory,,"Simeiz, Crimea, Ukraine"
Skalnaté Pleso Observatory,1953,"Vysoké Tatry, Slovakia"
Skinakas Observatory,1984,"Crete, Greece"
Skylab,1973,low Earth orbit; re-entered in 1979
Smith Observatory,1880s,"Beloit, Wisconsin, USA"
Smithsonian Astrophysical Observatory,1890,"Cambridge, Massachusetts, USA"
Sobaeksan Optical Astronomy Observatory,1978,"Sobaeksan, South Korea"
Sola Fide Observatory,,"Austin, Minnesota, USA"
Solar and Heliospheric Observatory (SOHO),1996,Earth–Sun L1 point
Solar Space Telescope,2009,709 km SSO; life: 3 years
Sommers–Bausch Observatory,1949,"Boulder, Colorado, USA"
Sonnenborgh Observatory,1853,"Utrecht, Netherlands"
Sonoma State Observatory,1976,"Rohnert Park, California, USA"
South African Astronomical Observatory,1820,"Observatory, Cape Town, South Africa"
Cape Town,1972,"Sutherland, Northern Cape, South Africa"
Sutherland,,
Southern Astrophysical Research Telescope (SOAR),2004,"Cerro Pachón, Chile"
South Pole Telescope,2007,Antarctica
Space Hard X-Ray Modulation Telescope,2010,550 km LEO
Spanish National Observatory,1790,(Spain)
Special Astrophysical Observatory of the Russian Academy of Sciences,1966,"Zelenchukskaya, near Arkhyz, Caucasus Mountains, Russia"
Sperry Observatory,1967,"Cranford, New Jersey, USA"
Spitzer Space Telescope,2003,Heliocentric orbit
Springfield Observatory,1968,"Springfield, Massachusetts, USA"
Sproul Observatory,,"Swarthmore, Pennsylvania, USA"
Stardome Observatory,1967,"Auckland, North Island, New Zealand"
Starkenburg Observatory,1970,"Heppenheim, Germany"
Štefánik's Observatory,1928,"Prague, Czech Republic"
Stephens Memorial Observatory,1901,"Hiram, Ohio, USA"
Steward Observatory,1916,"Tucson, Arizona, USA"
MMT Observatory,,
Mount Graham International Observatory,,
Mount Lemmon Observatory,,
Stjerneborg,1581,"Hven, Sweden"
Stockholm Observatory,1749,"Stockholm, Sweden"
Stokesville Observatory,,"Virginia, USA"
Stone Observatory,1853,"Stone, Buckinghamshire, UK"
Stonyhurst Observatory,1838,"Lancashire, England"
Strasbourg Observatory,1881,"Strasbourg, France"
Stratospheric Observatory for Infrared Astronomy,2006,14 km in the stratosphere
Stull Observatory,1966,"Alfred, New York, USA"
Stuttgart Observatory,1920,"Stuttgart, Germany"
Submillimeter Array,,"Mauna Kea, Hawaii, USA"
St. Thomas Observatory,2009,"Saint Paul, Minnesota, USA"
Sudbury Neutrino Observatory,1999,"Sudbury, Ontario, Canada"
Sunriver Observatory,,"Sunriver, Oregon, USA"
Swift Gamma-Ray Burst Mission,2004,Low Earth orbit
Swiss Observatory Polychron and Astronomy,2019,"Geneva, Switzerland"
Sydney Observatory,1858,"Sydney, Australia"
Table Mountain Observatory,,"Angeles National Forest, Wrightwood, California, USA"
Tacubaya Observatory,1882,"Tacubaya, Mexico City, Mexico"
Taeduk Radio Astronomy Observatory,1986,"Taejon, South Korea"
Tamke-Allan Observatory,1998,"Roane County, Tennessee, USA"
Tartu Observatory,1964,"Tartumaa, Estonia"
Teide Observatory,1964,"Tenerife, Canary Islands, Spain"
Ten Acre Observatory,,"Tribbey, Oklahoma, USA"
Terskol Peak Observatory,1989,"Terskol, Kabardino-Balkaria, Russia"
Thai National Observatory,2013,"Doi Inthanon, Chiang Mai, Thailand"
The Dam Observatory,2017,"Lake Tschida, North Dakota, USA"
The Heights Observatory,1989,"The Heights School, South Australia, Australia"
Texas A&M Astronomical Observatory,,"College Station, Texas, USA"
Theodore Jacobsen Observatory,1895,"Seattle, Washington, USA"
Thompson Observatory,1968,"Beloit, Wisconsin, USA"
Tien Shan Astronomical Observatory,,"Almaty, Kazakhstan"
Tuorla Observatory,1952,"Piikkiö, Finland"
Trieste Observatory,,"Trieste, Italy"
Turin Observatory,1759,"Pino Torinese, Italy"
Udaipur Solar Observatory,,"Udaipur, Rajasthan, India"
"Ukrainian T-shaped Radio telescope, second modification",1972,"Shevchenkove, Ukraine"
Ulugh Beg Observatory,1420s,"Samarkand, Uzbekistan"
University of Alabama Observatory,1950,"Tuscaloosa, Alabama, USA"
University of Alabama Observatory (Old),1849–1890s,"Tuscaloosa, Alabama, USA"
University of North Alabama Observatory,,"Florence, Alabama, USA"
University of Illinois Astronomical Observatory,1896,"Urbana, Illinois, USA"
University of London Observatory,1929,"London, England"
University of Maryland Observatory,,"College Park, Maryland, USA"
University of Michigan-Dearborn Observatory,2007,"Dearborn, Michigan, USA"
University of New Hampshire Observatory,1985,"Durham, New Hampshire, USA"
University of Oklahoma Observatory,,"Norman, Oklahoma, USA"
University of Puerto Rico at Humacao Observatory[2],1985,"Humacao, Puerto Rico, USA"
Uppsala Astronomical Observatory,1741,"Uppsala, Sweden"
Urania (Antwerp),,"Hove, Belgium"
Urania (Berlin),,"Berlin, Germany"
Urania (Vienna),1909,"Vienna, Austria"
Urania Observatory (Zürich),1907,"Zürich, Switzerland"
Uraniborg,1572-1597 (demolished),"Hven, Sweden"
Urumqi Astronomical Observatory,1957,"Urumqi, Xinjiang, China"
U.S. Naval Observatory (USNO)[3],1844,"Washington, D.C., USA"
"Depot of Charts and Instruments (U.S. Navy) (precursor, renamed to USNO)",1830–1844,"Washington, D.C., USA"
U.S. Naval Observatory (Flagstaff Station),1955,"Flagstaff, Arizona, USA"
Valongo Observatory,1881,"Rio de Janeiro, Brazil"
Vainu Bappu Observatory,1968,"Kavalur, Tamil Nadu, India"
Astronomical observatory of Aosta Valley,2003,"Nus (Aosta Valley, Italy"
Van Vleck Observatory,1914,"Middletown, Connecticut, USA"
Vanderbilt University Observatory,,"Nashville, Tennessee, USA"
Vartiovuori Observatory (defunct),1819–1834,"Turku, Finland"
Vassar College Observatory (defunct),1865,"Poughkeepsie, New York, USA"
Vatican Observatory,1891,"Headquarters: Castel Gandolfo, Italy"
Vatican Advanced Technology Telescope,1993,"Mount Graham, Arizona, USA"
Veen Observatory,1970,"Lowell, Michigan, USA"
Vega–Bray Observatory,1990,"Benson, Arizona, USA"
Ventspils Starptautiskais Radioastronomijas Centrs,,"Irbene, Latvia"
Vernonia Peak Observatory,,"Vernonia, Oregon, USA"
Very Large Array,1980,"Socorro, New Mexico, USA"
Very Long Baseline Array,1993,Various locations
Vienna Observatory,1753,"Vienna, Austria"
Vilnius University Observatory,1753,"Vilnius University, Lithuania"
Višnjan Observatory,1978,"Višnjan, Croatia"
Vsetín Observatory,1950,"Vsetín, Czech Republic"
Warkworth Radio Observatory,2008,"Warkworth, New Zealand"
Warner Observatory (defunct),1882,"Rochester, New York, USA"
Warner and Swasey Observatory,1919,"Cleveland, Ohio, USA"
Warren Rupp Observatory,1985,"Mansfield, Ohio, USA"
Warsaw University Observatory,1825,"Warsaw, Poland"
Washburn Observatory,1881,"Madison, Wisconsin, USA"
Wast Hills Observatory,1982,"Birmingham, England, UK"
Weaver Student Observatory,,"Monterey, California, USA"
Weitkamp Observatory,1955,"Westerville, Ohio, USA"
West Mountain Observatory,1981,West Mountain (Utah) USA
Whakatane Astronomical Society,1964,"Whakatane, New Zealand"
Whitin Observatory,1901,"Wellesley, Massachusetts, USA"
Widener University Observatory,2004,"Chester, Pennsylvania, USA"
Wilder Observatory,1903,"Amherst, Massachusetts, USA"
Willard L. Eccles Observatory,2009,"Frisco Peak, Utah, USA"
William Brydone Jack Observatory,1851,"Fredericton, New Brunswick, Canada"
Williams Observatory,1990,"Boiling Springs, North Carolina, USA"
Winer Observatory,1983,"Sonoita, Arizona, USA"
Winfree Observatory,1900,"Lynchburg, Virginia, USA"
Wise Observatory,1971,"Negev, Israel"
Witte Observatory,1984,"Mediapolis, Iowa, USA"
WIYN Observatory,1994,"Kitt Peak, Arizona, USA"
Wyoming Infrared Observatory,1975,"Laramie, Wyoming, USA"
Xiangfen Astronomical Observatory,2100 B.C.,"Xiangfen County, Linfen City, Shanxi Province, China"
Xinglong Station (NAOC),,"Yanshan County, Hebei, China"
Xinjiang Astronomical Observatory,1968,"Urumqi, Xinjiang, China"
XMM-Newton,1999,Highly eccentric Earth orbit
Xujiahui Astronomical Observatory,1872,"Shanghai, China"
Arctic Space Weather Center,,"Yakutsk, Russia"
Yale Student Observatory,,"New Haven, Connecticut, USA"
Yangbajing International Cosmic-Ray Observatory,,"Yangbajing Valley, Tibet, China"
Yantra Mandir,1724,"New Delhi, Delhi, India"
Yerevan Cosmic-Ray Station,,"Yerevan, Armenia"
Yerkes Observatory,1897,"Williams Bay, Wisconsin, USA"
York University Observatory,,"Toronto, Ontario, Canada"
Yuba City Astronomical Observatory,2010,"Yuba City, California, USA"
Yunnan Astronomical Observatory,1957,"Kunming, Yunnan, China"
Zimmerwald Observatory,1956,"Zimmerwald, Switzerland"
Zadko Observatory,2009,"Gingin, Australia"
